"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"Aurionpro Mumbai IGM Open",2025-06-23,"Nikitenko,M","Siddhanth Poonja","0-1",2520,2167
"Aurionpro Mumbai IGM Open",2025-06-23,"Alekhya,Mukhopadhyay","Savchenko,B","0-1",2192,2456
"Aurionpro Mumbai IGM Open",2025-06-23,"Deepan,C","Arshpreet Singh","1-0",2410,2075
"Aurionpro Mumbai IGM Open",2025-06-23,"Sri Charan Sandipagu","Nguyen Van Huy","0-1",2018,2337
"Aurionpro Mumbai IGM Open",2025-06-23,"Jaiswal,R","Sanikidze,T","1-0",2081,2425
"Aurionpro Mumbai IGM Open",2025-06-23,"Alluri Bhaskara Ratna Shanmukha Reddy","Slizhevsky,A","1-0",2074,2372
"Aurionpro Mumbai IGM Open",2025-06-23,"Budhidharma,Nayaka","Iyer Arvind","1-0",2369,2101
"Aurionpro Mumbai IGM Open",2025-06-23,"Sherla Prathamesh","Daksh Goyal","1-0",2259,2100
"Aurionpro Mumbai IGM Open",2025-06-23,"Madhesh Kumar S","Banik Hrishikesh Kumar","1/2-1/2",2243,2086
"Aurionpro Mumbai IGM Open",2025-06-23,"Ziatdinov,R","Sharnarthi Viresh","0-1",2065,2236
"Aurionpro Mumbai IGM Open",2025-06-23,"Advik Amit Agrawal","Abheek Bhatt","1/2-1/2",2218,2061
"Aurionpro Mumbai IGM Open",2025-06-23,"Krishay Jain","Gyana,Sai Santhosh M","1/2-1/2",2059,2195
"Aurionpro Mumbai IGM Open",2025-06-23,"Chaudhari,Ashish","Avirat Chauhan","0-1",1990,2168
