"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"502",106,"Denver",34,26,29,23,112,"LALakers",26,34,23,22,105,-7,2013,0
"503",107,"OklahomaCity",20,33,20,26,99,"Washington",30,21,24,26,101,2,2013,0
"504",107,"Boston",22,31,23,26,102,"NewYork",21,35,16,24,96,-6,2013,0
"505",107,"SanAntonio",19,22,24,23,88,"NewOrleans",24,25,21,25,95,7,2013,0
"506",107,"Cleveland",30,20,22,20,92,"Chicago",22,31,35,30,118,26,2013,0
"507",107,"Dallas",26,27,27,14,94,"Utah",19,34,21,26,100,6,2013,0
"508",107,"Memphis",22,29,36,26,113,"Sacramento",23,22,20,16,81,-32,2013,0
"509",107,"Orlando",24,33,28,23,119,"Portland",25,23,37,23,125,6,2013,0
"510",108,"Miami",19,23,15,20,77,"Indiana",20,22,25,20,87,10,2013,0
"511",108,"Brooklyn",26,22,35,26,109,"Philadelphia",24,23,14,28,89,-20,2013,0
"512",108,"Atlanta",20,22,29,32,103,"Minnesota",30,28,27,23,108,5,2013,0
"513",108,"Phoenix",33,23,20,23,99,"Milwaukee",26,24,30,28,108,9,2013,0
"514",108,"LALakers",34,28,26,24,112,"Houston",28,31,37,29,125,13,2013,0
"515",109,"Atlanta",28,12,23,20,83,"Cleveland",29,20,28,22,99,16,2013,0
"516",109,"Philadelphia",21,19,21,11,72,"Toronto",24,18,29,19,90,18,2013,0
"517",109,"Utah",27,36,27,22,112,"Charlotte",20,24,29,29,102,-10,2013,0
"518",109,"Phoenix",24,17,23,15,79,"Boston",23,30,14,20,87,8,2013,0
"519",109,"LALakers",17,28,30,30,105,"SanAntonio",24,30,31,23,108,3,2013,0
"520",109,"Minnesota",16,26,22,20,84,"OklahomaCity",16,31,29,30,106,22,2013,0
"521",109,"Houston",22,14,33,10,79,"NewOrleans",18,16,26,28,88,9,2013,0
"522",109,"Milwaukee",23,27,31,23,104,"Chicago",33,24,23,16,96,-8,2013,0
"523",109,"Orlando",30,25,22,28,105,"Denver",22,31,17,38,108,3,2013,0
"524",109,"Memphis",27,28,13,26,94,"GoldenState",26,20,17,24,87,-7,2013,0
"525",109,"Dallas",21,29,25,18,93,"LAClippers",25,27,20,27,99,6,2013,0
"526",110,"NewYork",14,20,26,16,76,"Indiana",16,23,19,23,81,5,2013,0
"527",110,"Dallas",23,19,26,33,117,"Sacramento",25,24,29,23,112,-5,2013,0
"528",110,"Miami",21,31,16,22,90,"Portland",18,21,24,29,92,2,2013,0
